No. Cuenta,RPU,Nombre,Direccion,Colonia,Tarifa,Hilos,Carga Ins.,Demanda Cont.,Tipo Sum,Promedio Diario,No. Medidor,Año,Censo Fecha,No. Lamparas
05DP08E010505620,068081001603,MPIO CORTAZAR,AGUA CALIENTE COL FRAY DANIEL ,FRAY DANIEL CORTAZAR          ,5A,2,0,0,3,0,50V47V,2021,22/09/2021,7
05DP08E010502223,068210601329,MUNICIPIO DE CORTAZAR GTO,PRIV LUIS I RODRIGUEZ O S N   ,JACINTO LOPEZ CORTAZAR        ,5A,2,1.35,2,3,2.7049,NN109P,2023,27/09/2023,12
05DP08E010501724,068120301580,MPIO CORTAZAR,FCO I MADERO S N              ,PANAMERICANA COL CORTAZAR     ,5A,2,0.75,0.36,3,0,Y633KP,2023,27/09/2023,6
07DP08E270700167,068210601175,MUNICIPIO DE CORTAZAR GTO,PIPILA S N                    ,CARACHEO CORTAZAR             ,5A,2,0.381,0.38,3,2.4561,NN838N,2023,25/09/2023,5
07DP08E270703857,068220850459,MUNICIPIO DE CORTAZAR,CARRT CORTZ SALVATIERRA S N   ,CARACHEO CORTAZAR             ,5A,1,2.812,3,2,12.2807,UF566R,2023,30/09/2023,15
04DP08E010401708,068070900509,MPIO CORTAZAR,RETORNO LAURELES S N          ,SAN VICENTE CORTAZAR          ,5A,1,0.412,1,3,7.746,454FGU,2023,28/09/2023,6
01DP08E010132786,068170400929,MPIO CORTAZAR,SAN JOSE S N CP 38362         ,PANAMERICANA COL CORTAZAR     ,5A,2,0,0,3,1.6667,778XAA,2021,22/09/2021,21
01DP08E230115020,068130150636,MPIO CORTAZAR,JOSEFA ORTIZ DE DOMINGUEZ S N ,HUIZACHE EL CORTAZAR          ,5A,2,0.418,0.63,3,1.1833,124UU2,2023,27/09/2023,6
01DP08E230113441,068200901332,MUNICIPIO DE CORTAZAR,PRIV MIGUEL HIDALGO S N       ,HUIZACHE EL CORTAZAR          ,5A,2,0.356,0.34,2,3.9,LV189F,2023,27/09/2023,5
03DP08E250310615,068210601221,MUNICIPIO DE CORTAZAR GTO,LAZARO CARDENAS S N           ,CONCEPCION LA CORTAZAR        ,5A,2,0.356,3.85,3,2.3279,NN836N,2023,26/09/2023,5
03DP08E010301829,068191000271,MPIO CORTAZAR,PABLO GUZMAN LARA S N         ,FRAY DANIEL CORTAZAR          ,5A,2,0.487,0.57,3,4.377,Y705KL,2023,26/09/2023,6
03DP08E310310082,068180590921,MPIO CORTAZAR,INDEPENDENCIA SN              ,VALENCIA DE FUENTES CORTZAR   ,5A,2,0.968,1.4,3,3.3607,J231JY,2023,29/09/2023,13
08DP08E020800470,068090201518,MPIO CORTAZAR,CALLE TAPIA COM SAN FCO DE LOS,SAN FCO DE LOS LEON CORTAZA   ,5A,2,0.475,0.45,3,5.2063,681WV6,2023,28/09/2023,6
11DP08E201110545,068220750420,MUNICIPIO DE CORTAZAR,ROSALES S N                   ,SAUZ DE FUENTES CORTAZAR      ,5A,2,0.637,4,3,3.5263,UF741R,2023,28/09/2023,9
12DP08E241210027,068181100218,MPIO CORTAZAR,CAMINO A LA GAVIA S N         ,GAVIA LA CORTAZAR             ,5A,2,0,0,3,3.4286,P000HF,2023,22/06/2023,7
08DP08E040800973,068220750373,MUNICIPIO DE CORTAZAR,LAZARO CARDENAS S N           ,SAN AGUSTIN CULIACAN CORTAZ   ,5A,2,0.262,4,3,5.0159,UF742R,2023,28/09/2023,3
